Depth,DIC,Ocean
0,2000,North Atlantic
1.2,2200,North Atlantic
1.8,2140,North Atlantic
4.2,2180,North Atlantic
5,2180,North Atlantic
0,2000,South Atlantic
1.1,2220,South Atlantic
1.8,2180,South Atlantic
2.6,2180,South Atlantic
4.5,2250,South Atlantic
5,2245,South Atlantic
0,2190,Southern Ocean
0.5,2250,Southern Ocean
3,2255,Southern Ocean
5,2250,Southern Ocean
0,2000,South Pacific 
0.5,2200,South Pacific 
0.6,2200,South Pacific 
1.3,2300,South Pacific 
2,2320,South Pacific 
2.4,2320,South Pacific 
4,2280,South Pacific 
5,2270,South Pacific 
0,2000,North Pacific 
0.7,2380,North Pacific 
1.1,2390,North Pacific 
1.3,2380,North Pacific 
1.4,2390,North Pacific 
3,2360,North Pacific 
5,2330,North Pacific 
